Time 1 Elf Elf Jack: Selected Toy whistle, Boy
Time 149 Elf Elf Jack: Selected Toy fake tattoo, Girl
Time 149 Elf Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 149 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 150 Elf Elf Jack: Selected Toy bracelet, Girl
Time 150 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 150 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 151 Elf Elf Jack: Selected Toy bracelet, Boy
Time 151 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 151 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 152 Elf Elf Jack: Selected Toy train, Girl
Time 152 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 152 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 152 Elf Elf Jack: Selected Toy whistle, Girl
Time 153 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 153 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 153 Elf Elf Jack: Selected Toy bracelet, Girl
Time 154 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 154 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 155 Elf Elf Jack: Selected Toy fake tattoo, Girl
Time 155 Elf Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 155 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 156 Elf Elf Jack: Selected Toy doll, Girl
Time 157 Elf Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 157 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 157 Elf Elf Jack: Selected Toy whistle, Girl
Time 158 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 158 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 158 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 158 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 158 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 158 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 159 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 159 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 160 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 161 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 161 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 161 Elf Elf Jack: Selected Toy bracelet, Girl
Time 161 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 161 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 161 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 161 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 161 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 162 Elf Elf Jack: Selected Toy bracelet, Boy
Time 163 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 163 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 163 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 164 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 164 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 165 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 165 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 165 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 166 Elf Elf Jack: Selected Toy train, Boy
Time 166 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 166 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 167 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 167 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 167 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 168 Elf Elf Jack: Selected Toy bracelet, Boy
Time 168 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 168 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 169 Elf Elf Jack: Selected Toy doll, Girl
Time 169 Elf Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 169 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 169 Elf Elf Jack: Selected Toy whistle, Girl
Time 170 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 170 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 171 Elf Elf Jack: Selected Toy bracelet, Girl
Time 171 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 171 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 171 Elf Elf Jack: Selected Toy train, Girl
Time 172 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 172 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 173 Elf Elf Jack: Selected Toy whistle, Girl
Time 174 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 174 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 174 Elf Elf Jack: Selected Toy train, Girl
Time 174 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 174 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 174 Elf Elf Jack: Selected Toy train, Boy
Time 175 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 175 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 176 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 177 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 177 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 178 Elf Elf Jack: Selected Toy bracelet, Boy
Time 178 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 178 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 178 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 179 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 179 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 180 Elf Elf Jack: Selected Toy fake tattoo, Girl
Time 180 Elf Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 180 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 180 Elf Elf Jack: Selected Toy train, Girl
Time 181 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 181 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 182 Elf Elf Jack: Selected Toy whistle, Boy
Time 182 Elf Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 182 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 183 Elf Elf Jack: Selected Toy doll, Boy
Time 183 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 183 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 183 Elf Elf Jack: Selected Toy doll, Girl
Time 183 Elf Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 183 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 183 Elf Elf Jack: Selected Toy bracelet, Girl
Time 184 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 184 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 184 Elf Elf Jack: Selected Toy train, Girl
Time 185 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 185 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 185 Elf Elf Jack: Selected Toy train, Boy
Time 186 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 186 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 187 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 187 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 187 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 188 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 188 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 188 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 189 Elf Elf Jack: Selected Toy train, Boy
Time 189 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 189 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 190 Elf Elf Jack: Selected Toy whistle, Boy
Time 190 Elf Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 190 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 190 Elf Elf Jack: Selected Toy doll, Boy
Time 190 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 190 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 191 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 192 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 192 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 193 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 193 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 193 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 194 Elf Elf Jack: Selected Toy doll, Girl
Time 194 Elf Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 194 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 195 Elf Elf Jack: Selected Toy whistle, Boy
Time 196 Elf Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 196 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 196 Elf Elf Jack: Selected Toy whistle, Girl
Time 197 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 197 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 197 Elf Elf Jack: Selected Toy doll, Girl
Time 198 Elf Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 198 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 199 Elf Elf Jack: Selected Toy bracelet, Boy
Time 199 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 199 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 200 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 201 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 201 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 201 Elf Elf Jack: Selected Toy train, Boy
Time 202 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 202 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 202 Elf Elf Jack: Selected Toy whistle, Girl
Time 202 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 202 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 202 Elf Elf Jack: Selected Toy bracelet, Boy
Time 203 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 203 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 204 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 204 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 204 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 204 Elf Elf Jack: Selected Toy bracelet, Girl
Time 205 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 205 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 205 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 205 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 205 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 205 Elf Elf Jack: Selected Toy bracelet, Girl
Time 205 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 205 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 206 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 207 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 207 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 208 Elf Elf Jack: Selected Toy whistle, Boy
Time 209 Elf Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 209 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 209 Elf Elf Jack: Selected Toy whistle, Girl
Time 210 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 210 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 210 Elf Elf Jack: Selected Toy train, Girl
Time 211 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 211 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 211 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 211 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 211 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 212 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 212 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 212 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 212 Elf Elf Jack: Selected Toy bracelet, Girl
Time 213 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 213 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 214 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 215 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 215 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 215 Elf Elf Jack: Selected Toy bracelet, Boy
Time 215 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 215 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 216 Elf Elf Jack: Selected Toy train, Girl
Time 216 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 216 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 217 Elf Elf Jack: Selected Toy doll, Girl
Time 218 Elf Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 218 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 218 Elf Elf Jack: Selected Toy whistle, Boy
Time 219 Elf Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 219 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 219 Elf Elf Jack: Selected Toy whistle, Girl
Time 219 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 219 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 220 Elf Elf Jack: Selected Toy whistle, Boy
Time 220 Elf Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 220 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 220 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 221 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 221 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 221 Elf Elf Jack: Selected Toy fake tattoo, Girl
Time 222 Elf Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 222 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 222 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 222 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 222 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 223 Elf Elf Jack: Selected Toy bracelet, Girl
Time 223 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 223 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 223 Elf Elf Jack: Selected Toy bracelet, Boy
Time 224 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 224 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 224 Elf Elf Jack: Selected Toy whistle, Boy
Time 225 Elf Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 225 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 225 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 226 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 226 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 227 Elf Elf Jack: Selected Toy doll, Girl
Time 227 Elf Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 227 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 227 Elf Elf Jack: Selected Toy whistle, Boy
Time 228 Elf Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 228 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 228 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 228 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 228 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 229 Elf Elf Jack: Selected Toy whistle, Boy
Time 229 Elf Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 229 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 230 Elf Elf Jack: Selected Toy doll, Boy
Time 231 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 231 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 231 Elf Elf Jack: Selected Toy whistle, Girl
Time 232 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 232 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 232 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 232 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 232 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 233 Elf Elf Jack: Selected Toy whistle, Girl
Time 234 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 234 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 235 Elf Elf Jack: Selected Toy train, Girl
Time 236 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 236 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 237 Elf Elf Jack: Selected Toy whistle, Girl
Time 237 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 237 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 237 Elf Elf Jack: Selected Toy doll, Boy
Time 237 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 237 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 238 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 239 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 239 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 239 Elf Elf Jack: Selected Toy train, Girl
Time 239 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 239 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 240 Elf Elf Jack: Selected Toy train, Boy
Time 241 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 241 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 241 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 242 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 242 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 242 Elf Elf Jack: Selected Toy train, Boy
Time 242 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 242 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 243 Elf Elf Jack: Selected Toy train, Boy
Time 243 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 243 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 243 Elf Elf Jack: Selected Toy whistle, Girl
Time 244 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 244 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 245 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 245 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 245 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 245 Elf Elf Jack: Selected Toy train, Boy
Time 245 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 245 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 246 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 247 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 247 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 248 Elf Elf Jack: Selected Toy doll, Boy
Time 248 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 248 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 249 Elf Elf Jack: Selected Toy doll, Boy
Time 250 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 250 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 251 Elf Elf Jack: Selected Toy whistle, Girl
Time 251 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 251 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 252 Elf Elf Jack: Selected Toy doll, Boy
Time 253 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 253 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 253 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 254 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 254 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 255 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 255 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 255 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 256 Elf Elf Jack: Selected Toy fake tattoo, Girl
Time 256 Elf Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 256 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 257 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 257 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 257 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 258 Elf Elf Jack: Selected Toy doll, Boy
Time 258 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 258 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 259 Elf Elf Jack: Selected Toy whistle, Girl
Time 259 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 259 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 259 Elf Elf Jack: Selected Toy doll, Girl
Time 260 Elf Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 260 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 260 Elf Elf Jack: Selected Toy bracelet, Girl
Time 261 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 261 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 261 Elf Elf Jack: Selected Toy train, Boy
Time 262 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 262 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 262 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 262 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 262 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 262 Elf Elf Jack: Selected Toy train, Boy
Time 262 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 262 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 263 Elf Elf Jack: Selected Toy doll, Boy
Time 264 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 264 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 264 Elf Elf Jack: Selected Toy train, Girl
Time 265 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 265 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 265 Elf Elf Jack: Selected Toy train, Girl
Time 265 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 265 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 266 Elf Elf Jack: Selected Toy doll, Boy
Time 267 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 267 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 267 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 267 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 267 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 268 Elf Elf Jack: Selected Toy bracelet, Boy
Time 269 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 269 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 269 Elf Elf Jack: Selected Toy whistle, Girl
Time 270 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 270 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 271 Elf Elf Jack: Selected Toy whistle, Girl
Time 271 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 271 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 271 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 272 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 272 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 272 Elf Elf Jack: Selected Toy bracelet, Girl
Time 273 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 273 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 274 Elf Elf Jack: Selected Toy doll, Boy
Time 274 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 274 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 274 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 275 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 275 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 275 Elf Elf Jack: Selected Toy whistle, Boy
Time 276 Elf Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 276 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 277 Elf Elf Jack: Selected Toy train, Boy
Time 278 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 278 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 278 Elf Elf Jack: Selected Toy fake tattoo, Girl
Time 279 Elf Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 279 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 280 Elf Elf Jack: Selected Toy doll, Girl
Time 281 Elf Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 281 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 281 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 282 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 282 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 283 Elf Elf Jack: Selected Toy whistle, Girl
Time 283 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 283 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 284 Elf Elf Jack: Selected Toy fake tattoo, Girl
Time 284 Elf Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 284 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 285 Elf Elf Jack: Selected Toy bracelet, Boy
Time 285 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 285 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
